Keyword Phrase,,,Keyword Sales,Magnet IQ Score,Search Volume,Search Volume Trend,H10 PPC Sugg. Bid,H10 PPC Sugg. Min Bid,H10 PPC Sugg. Max Bid,Sponsored ASINs,Competing Products,CPR,Organic,Title Density,Smart Complete,Amazon Recommended,,category
jujutsu kaisen coloring book,,,2,"2,151",342,2,0.62,0.54,0.77,190,159,8,0,0,1,0,,coloring
joy adams coloring book,,,-,"2,528",225,5,,,,135,89,8,0,0,0,0,,coloring
jonas brothers coloring book,,,-,"14,375",230,-14,,,,31,16,8,1,0,1,0,,coloring
jojo weirdo coloring book,,,1,"11,853",403,-6,0.69,0.58,0.81,59,34,8,0,0,1,1,,coloring
john deere coloring book,,,-,"1,423",212,-23,,,,158,149,8,0,0,1,0,,coloring
jillian webber coloring book,,,-,"28,900",289,-4,,,,18,10,8,1,0,1,0,,coloring
jesus coloring book for adults,,,0,342,342,-22,0.75,0.7,0.8,285,">1,000",8,0,2,1,0,,coloring
jessica rose coloring book,,,-,"2,500",210,-11,0.47,0.39,0.55,199,84,8,0,0,1,0,,coloring
jellycat coloring book,,,7,"3,110",451,-16,0.63,0.59,0.83,145,145,8,1,0,1,0,,coloring
jelly cat coloring book,,,-,"2,023",267,-8,,,,227,132,8,1,0,0,0,,coloring
jdm coloring book,,,2,"1,582",378,6,0.7,0.44,0.86,255,239,8,0,13,1,0,,coloring
jaws coloring book,,,30,"6,416","1,065",89,0.63,0.46,0.92,144,166,26,0,1,1,0,,coloring
jasmine becket-griffith coloring book,,,-,"2,410",335,16,0.32,0.3,0.4,87,139,8,0,1,1,0,,coloring
jane austen coloring book,,,-,"1,030",208,-23,,,,304,202,8,0,2,1,0,,coloring
jake paul coloring book,,,-,"22,200",222,12,,,,9,10,8,0,0,1,0,,coloring
jack skellington coloring book for kids,,,-,"4,756",214,-5,,,,57,45,8,0,0,1,0,,coloring
its the little things coloring book creative paula,,,-,"41,400",207,-20,,,,24,5,8,0,0,1,0,,coloring
invisible coloring book for kids,,,-,418,222,102,,,,175,531,8,0,0,1,0,,coloring
invincible coloring book,,,3,"3,392",268,-25,0.52,0.48,1.03,134,79,8,1,0,1,0,,coloring
"into gardens: bold & easy coloring book featuring plants, flowers, and cute animals for adults and t",,,-,"290,000",290,16,,,,45,1,8,0,0,0,0,,coloring
into gardens coloring book,,,11,"1,478",467,-30,0.91,0.63,1.3,449,>316,8,1,1,0,0,,coloring
interior design coloring book,,,9,458,458,-26,0.68,0.47,0.86,281,">1,000",8,0,19,1,1,,coloring
in the garden coloring book,,,-,310,310,19,,,,332,">1,000",8,1,4,0,0,,coloring
in my mind coloring book,,,-,389,244,28,,,,209,627,8,1,0,1,0,,coloring
in my coloring era coloring book,,,-,"1,883",241,40,0.71,0.66,0.97,120,128,8,0,0,1,0,,coloring
i love lucy coloring book,,,-,"2,824",257,-8,,,,125,91,8,0,0,1,0,,coloring
hyms adult coloring book,,,-,"1,037",252,25,0.76,0.75,0.97,171,243,8,0,0,1,0,,coloring
hyggee coloring book,,,-,802,89,-41,0.49,0.46,0.74,76,111,8,1,0,1,1,,coloring
hygge place coloring book,,,6,"1,665",303,-4,0.75,0.57,1,415,182,8,1,2,1,1,,coloring
hygge patterns coloring book,,,-,280,280,n/a,,,,183,">1,000",8,1,0,1,0,,coloring
hygge nature coloring book,,,2,"1,007",269,-17,0.64,0.5,0.82,342,267,8,0,0,1,1,,coloring
hygge holiday coloring book,,,-,280,280,2,0.67,0.57,0.77,373,">1,000",8,0,1,1,0,,coloring
hygge heaven coloring book,,,-,"2,366",194,-20,0.7,0.64,0.77,115,82,8,0,0,1,1,,coloring
hygge halloween coloring book,,,-,246,207,3,,,,228,841,8,1,1,1,0,,coloring
hygge delights coloring book,,,4,"3,459",460,-35,0.8,0.59,1.24,401,133,8,1,0,1,1,,coloring
hygge corner coloring book,,,-,320,320,47,,,,353,">1,000",8,1,0,1,1,,coloring
hygge coloring book,,,16,"1,321","1,321",-5,0.8,0.43,0.81,510,">1,000",26,1,2,1,1,,coloring
hygge bold and easy coloring book,,,-,341,297,n/a,,,,86,>870,8,1,0,1,0,,coloring
hygee delights coloring book,,,-,"2,520",315,56,,,,209,125,8,0,0,1,0,,coloring
hunger games coloring book adult,,,-,"3,625",290,-13,,,,75,80,8,1,0,0,0,,coloring
hunger games coloring book,,,2,"3,316",378,-26,0.72,0.64,0.81,107,114,8,0,0,1,0,,coloring
hummingbird coloring book,,,5,686,234,305,,,,85,>341,8,0,11,1,0,,coloring
human body coloring book for adults,,,2,"1,150",429,19,0.67,0.59,0.76,448,>373,8,0,0,1,0,,coloring
human body coloring book,,,96,"5,408","3,991",101,0.88,0.7,1.07,702,>738,31,0,7,0,0,,coloring
human anatomy coloring book,,,139,"5,522","5,522",62,1.02,0.89,1.16,380,">1,000",36,0,16,0,0,,coloring
huggy wuggy coloring book,,,0,"1,496",335,-17,0.73,0.45,0.84,188,224,8,0,1,1,0,,coloring
how to draw patterns coloring book,,,10,"5,266","1,127",49,0.97,0.43,1.37,334,>214,26,1,0,1,0,,coloring
how teachers swear an adult coloring book,,,-,"1,055",248,24,,,,339,235,8,0,0,1,0,,coloring
housewives coloring book,,,-,"1,271",244,-14,0.75,0.7,0.8,251,192,8,0,1,1,0,,coloring
horse coloring book for kids ages 4-8,,,11,529,388,-28,0.65,0.5,0.75,252,>733,8,0,1,1,0,,coloring
horror stoner coloring book,,,4,"1,972",424,-3,0.97,0.64,1.21,354,>215,8,0,16,1,0,,coloring
horror movie coloring book,,,5,680,455,16,0.94,0.6,1.13,230,>669,8,0,7,1,0,,coloring
homies coloring book,,,2,"2,424",429,-38,0.63,0.19,0.74,453,177,8,0,7,1,0,,coloring
home sweet home coloring book,,,-,231,231,-6,0.47,0.4,0.71,358,">1,000",8,1,11,1,0,,coloring
holly nichols coloring book,,,10,"7,441",439,9,1.01,0.85,1.18,110,59,8,0,0,1,0,,coloring
historical fashion coloring book,,,-,225,225,8,,,,228,">1,000",8,0,8,1,0,,coloring
hidden creatures coloring book,,,2,916,326,38,0.62,0.46,0.85,433,>356,8,1,2,1,0,,coloring
hero buddies coloring book,,,-,"7,778",210,-12,,,,35,27,8,1,0,1,0,,coloring
her serene era coloring book,,,-,"45,286",317,n/a,0.92,0.83,1.04,15,7,8,1,1,1,0,,coloring
her cozy time coloring book,,,-,"2,833",255,19,,,,105,90,8,1,0,1,0,,coloring
hello kitty coloring book adult,,,11,"2,582",878,-27,0.5,0.41,0.6,467,340,11,1,0,1,0,,coloring
hello kitty coloring book,,,277,"19,073","8,335",-18,0.47,0.4,0.67,762,>437,37,0,8,1,0,,coloring
hello kitty christmas coloring book,,,-,"1,138",223,-1,0.53,0.34,0.56,231,196,8,0,0,1,0,,coloring
hello kitty and friends coloring book,,,10,961,324,-10,0.59,0.48,0.66,290,337,8,0,1,1,0,,coloring
hello kitty adult coloring book,,,3,"1,652",403,-6,0.54,0.41,0.73,274,244,8,1,0,1,0,,coloring
heather land adult coloring book,,,-,"3,053",229,71,,,,24,75,8,0,0,1,0,,coloring
heartstopper coloring book,,,10,"2,750",264,-14,0.9,0.63,0.94,113,96,8,0,1,1,0,,coloring
he is risen coloring book,,,-,"2,875",322,-18,0.66,0.52,0.87,253,112,8,0,1,1,0,,coloring
haunted mansion coloring book,,,-,670,313,28,0.49,0.45,0.67,320,467,8,0,1,1,0,,coloring
harry styles coloring book for adults,,,-,"1,723",274,-2,0.64,0.46,1,140,159,8,0,0,1,0,,coloring
harry styles coloring book,,,-,"2,217",235,0,0.48,0.38,0.58,275,106,8,0,1,1,0,,coloring
harry potter spiral coloring book,,,-,"5,163",222,28,,,,35,43,8,0,0,1,0,,coloring
harry potter coloring book for adults,,,9,"1,778",457,-12,0.69,0.54,0.78,377,257,8,0,0,1,0,,coloring
harry potter adult coloring book,,,5,"1,629",373,-2,0.48,0.36,0.89,339,229,8,0,0,1,0,,coloring
hard cover coloring book adults,,,1,623,297,48,,,,318,>477,8,1,0,1,0,,coloring
happy peens coloring book,,,-,"9,522",219,25,0.55,0.48,0.58,12,23,8,0,0,1,0,,coloring
happy moments coloring book,,,2,"1,318",307,1,0.67,0.55,0.99,424,>233,8,1,1,0,0,,coloring
happy horror friends coloring book,,,4,"2,901",470,-7,1.05,0.77,1.21,273,162,8,1,1,1,0,,coloring
happy grandma coloring book,,,-,293,293,2,,,,354,">1,000",8,1,0,1,0,,coloring
happy goodies coloring book,,,-,690,220,38,,,,330,319,8,1,0,0,0,,coloring
hannah lynn coloring book,,,2,"1,598",350,-6,0.63,0.55,0.65,293,219,8,0,0,0,0,,coloring
hannah karlzon coloring book,,,4,"1,738",412,-19,0.65,0.5,0.69,259,237,8,0,0,1,0,,coloring
halloween bold and easy coloring book,,,-,618,282,101,0.59,0.48,0.71,159,>456,8,1,3,0,0,,coloring
hairstylist coloring book,,,-,929,250,15,0.77,0.54,0.85,419,269,8,0,2,1,0,,coloring
hair and makeup coloring book,,,-,"1,728",254,-21,0.86,0.4,1.15,287,147,8,1,1,1,0,,coloring
gymnastics coloring book for girls,,,-,763,245,-7,,,,200,>321,8,0,5,0,0,,coloring
guy moments coloring book,,,-,"3,767",324,15,0.86,0.6,1.32,113,86,8,1,0,1,0,,coloring
gummy and pecky coloring book,,,5,"3,580",290,-13,0.76,0.71,0.81,141,81,8,1,0,1,0,,coloring
grow old with you coloring book,,,5,"3,434",419,8,0.84,0.56,1.32,59,122,8,0,0,1,0,,coloring
grief coloring book,,,-,309,270,-2,,,,298,>874,8,0,6,1,0,,coloring
greek mythology coloring book,,,4,"1,309",457,0,0.84,0.69,0.93,222,>349,8,0,18,1,0,,coloring
gravity falls coloring book,,,13,"1,650",467,23,0.42,0.37,0.47,163,283,8,0,0,1,0,,coloring
grandma coloring book,,,19,315,315,36,1.03,0.74,1.24,306,">1,000",8,1,4,1,0,,coloring
graduation coloring book,,,16,511,469,153,0.75,0.63,0.8,191,>918,8,0,13,0,1,,coloring
gothic coloring book for adults,,,6,445,445,-10,0.61,0.41,0.69,370,">1,000",8,1,0,1,0,,coloring
gothic coloring book,,,2,424,424,0,0.48,0.39,0.57,296,">1,000",8,1,1,1,0,,coloring
gothic adult coloring book,,,-,297,297,26,,,,263,">1,000",8,0,0,1,0,,coloring
goth coloring book for adults,,,5,445,445,-3,0.31,0.2,0.42,286,">1,000",8,1,2,0,0,,coloring
goth coloring book,,,2,349,349,-4,0.48,0.36,0.57,212,">1,000",8,1,15,0,0,,coloring
good vibes coloring book,,,-,275,222,15,0.49,0.34,0.65,329,>808,8,0,12,1,0,,coloring
golden girls coloring book for adults,,,6,"1,799",367,5,0.69,0.53,0.76,383,>204,8,0,0,1,0,,coloring
golden girls coloring book,,,6,659,417,-3,0.63,0.58,0.8,369,>633,8,0,0,1,0,,coloring
golden girls color by number coloring book,,,-,"1,092",214,-22,,,,214,196,8,0,0,1,0,,coloring
godzilla coloring book,,,27,"7,840","1,129",-20,0.75,0.45,1.1,391,144,26,0,0,1,0,,coloring
god made me special coloring book,,,-,"3,922",302,37,,,,55,77,8,0,0,1,0,,coloring
god is within her coloring book,,,-,"1,523",236,-15,,,,122,155,8,0,0,1,0,,coloring
goblincore coloring book,,,6,"2,141",441,-11,0.59,0.56,0.79,292,206,8,0,9,1,0,,coloring
goat coloring book,,,-,991,215,-1,0.52,0.45,0.66,273,>217,8,0,11,1,0,,coloring
gnomes coloring book for adults,,,-,470,321,-4,0.38,0.27,0.6,181,>683,8,0,6,1,0,,coloring
gnome coloring book for adults,,,4,808,553,-10,1.09,0.85,1.21,297,>684,9,0,1,1,0,,coloring
glow cosmetics coloring book for adults,,,-,361,234,-20,,,,263,648,8,0,2,1,0,,coloring
glow cosmetics coloring book,,,47,"6,929","1,171",-8,1.09,0.85,1.33,826,169,26,1,2,1,0,,coloring
glow cosmetics bold easy coloring book,,,2,"3,219",367,23,0.53,0.29,0.8,422,114,8,0,1,0,0,,coloring
girly coloring book for adults,,,2,469,343,-14,0.46,0.39,0.56,296,>731,8,1,1,1,0,,coloring
girly coloring book,,,2,584,553,-7,0.62,0.57,0.68,424,>947,9,1,2,1,0,,coloring
girls moments coloring book,,,-,292,292,9,,,,422,">1,000",8,1,0,1,0,,coloring
girls moment coloring book,,,-,251,251,-6,0.85,0.76,0.94,401,">1,000",8,1,0,1,0,,coloring
girl vibes coloring book,,,-,233,213,-10,0.5,0.31,0.6,445,>913,8,1,3,1,0,,coloring
girl moments: coloring book for adults and teens featuring cute cozy daily activities for relaxation,,,13,"1,076",254,-24,0.92,0.73,1.11,172,236,8,1,2,1,0,,coloring
girl moments cute and comfy coloring book,,,-,546,208,-5,0.49,0.41,0.85,452,381,8,1,0,1,0,,coloring
girl moments coloring book markers,,,-,"1,033",281,6,,,,314,272,8,1,0,0,0,,coloring
girl moments coloring book for adults and teens,,,-,364,279,35,0.71,0.4,0.78,414,>766,8,1,4,1,0,,coloring
girl moments coloring book,,,139,"4,201","4,201",-35,0.96,0.72,1.12,834,">1,000",31,1,7,1,1,,coloring
girl errands coloring book,,,14,"10,968",691,8,0.76,0.69,0.84,100,63,10,1,0,0,0,,coloring
girl errands beauty supply coloring book,,,1,"25,833",310,-7,0.57,0.53,0.81,15,12,8,1,0,1,0,,coloring
giraffe coloring book,,,5,855,294,4,0.77,0.55,1.14,289,>344,8,0,14,1,0,,coloring
gilmore girls coloring book for adults,,,7,"1,426",241,-13,0.59,0.3,0.61,229,169,8,0,0,1,0,,coloring
gilmore girls coloring book,,,18,"5,000",690,-19,0.49,0.42,0.54,356,138,10,0,1,0,0,,coloring
giant bluey coloring book,,,-,401,210,-17,,,,189,524,8,1,0,0,0,,coloring
ghostbusters coloring book,,,-,990,287,27,0.53,0.47,0.6,234,290,8,0,0,1,0,,coloring
ghost coloring book for adults,,,-,237,218,3,0.76,0.58,0.79,279,>920,8,1,0,1,0,,coloring
ghost coloring book,,,-,264,264,-17,0.44,0.39,0.52,287,">1,000",8,1,9,1,0,,coloring
ghibli coloring book,,,5,"1,684",421,1,0.6,0.27,0.78,274,250,8,0,0,1,0,,coloring
gender neutral coloring book,,,-,694,220,0,,,,246,317,8,1,2,0,0,,coloring
gel pen coloring book for girls,,,-,227,227,48,0.66,0.56,0.76,156,">1,000",8,0,0,0,0,,coloring
gel pen coloring book,,,11,422,422,-4,0.63,0.47,0.81,306,">1,000",8,1,0,1,0,,coloring
garten of ban ban coloring book,,,-,"15,100",302,-4,0.73,0.48,0.82,41,20,8,0,0,1,0,,coloring
garfield coloring book,,,5,"3,775",419,3,0.36,0.3,0.57,304,111,8,0,2,1,0,,coloring
garden corners coloring book,,,6,"1,792",405,-4,0.88,0.65,0.97,321,226,8,1,0,0,0,,coloring
fuzzy tales coloring book,,,5,"1,937",277,-17,0.82,0.47,0.87,160,143,8,0,0,1,0,,coloring
fuzzy meowvies coloring book,,,16,"11,109","1,322",6,0.85,0.82,1.01,323,119,26,0,0,1,1,,coloring
fuzzy meowvies 2 coloring book,,,1,"20,917",251,-53,0.78,0.77,1.45,16,12,8,1,0,0,0,,coloring
fuzzy love coloring book,,,-,161,80,-28,,,,107,498,8,0,1,0,1,,coloring
fuzzy in love coloring book,,,10,"3,119",393,0,0.68,0.51,0.97,248,126,8,1,0,0,0,,coloring
fuzzy hygge cute and cozy coloring book for adults,,,-,444,223,-5,,,,333,>502,8,1,1,1,0,,coloring
fuzzy hygge coloring book,,,49,"2,903","1,710",-15,0.88,0.62,1.16,709,>589,29,1,7,1,1,,coloring
fuzzy hugge coloring book,,,-,"7,625",244,24,,,,60,32,8,1,0,1,0,,coloring
fuzzy huge coloring book,,,-,912,83,-45,0.7,0.46,0.76,100,91,8,1,0,0,1,,coloring
fuzzy friends coloring book,,,12,"1,443",818,-28,1.03,0.95,1.09,472,>567,11,1,0,1,1,,coloring
fuzzy coloring book,,,2,343,343,-15,0.39,0.32,0.56,238,">1,000",8,1,1,0,1,,coloring
fuzzy buddies coloring book,,,-,974,113,-34,0.68,0.48,0.72,290,116,8,1,0,1,1,,coloring
funny teacher coloring book,,,7,292,279,37,,,,309,>954,8,0,0,1,0,,coloring
funny cat memes coloring book,,,-,773,204,-5,,,,210,264,8,0,0,1,0,,coloring
funfair days coloring book,,,1,"27,444",247,-46,1.07,0.56,1.19,12,9,8,0,0,1,0,,coloring
fuck coloring book,,,-,481,205,-23,0.62,0.55,0.65,0,>426,8,0,0,1,0,,coloring
froggy days coloring book,,,6,"5,043",817,-31,0.75,0.56,0.99,589,162,11,1,2,1,1,,coloring
frog coloring book adult,,,13,534,241,2,,,,258,>451,8,0,0,1,0,,coloring
friday the 13th coloring book,,,-,"1,706",290,45,,,,152,170,8,0,0,1,0,,coloring
freshly gardened coloring book,,,5,"8,512",349,-11,0.95,0.52,1.06,58,41,8,1,0,1,0,,coloring
fresh glow coloring book,,,-,"2,990",296,2,0.84,0.79,1.11,206,99,8,1,0,1,0,,coloring
free color by number coloring book,,,-,259,259,41,,,,152,">1,000",8,0,0,1,0,,coloring
fourth wing coloring book,,,5,"2,901",554,-3,0.41,0.37,0.66,472,191,9,0,0,1,0,,coloring
fortnite coloring book,,,25,"4,988",818,-43,0.71,0.55,0.95,329,164,11,0,0,1,0,,coloring
forest girl 2 coloring book,,,-,295,295,2,,,,263,">1,000",8,0,0,0,0,,coloring
football coloring book for boys,,,-,603,302,-18,,,,267,>501,8,0,0,1,0,,coloring
foods and snacks coloring book,,,-,462,300,8,,,,364,>650,8,0,0,1,0,,coloring
food drinks and sweets coloring book,,,-,844,227,10,0.65,0.4,0.83,295,>269,8,0,1,1,0,,coloring
food drink and sweets coloring book,,,12,905,257,-7,0.91,0.47,1.25,349,>284,8,0,1,1,0,,coloring
food coloring book bold and easy,,,-,271,271,20,1.18,0.69,1.37,293,">1,000",8,0,0,0,0,,coloring
food and snacks coloring book bold and easy,,,-,508,236,-6,0.42,0.34,0.51,264,>465,8,0,0,1,0,,coloring
food and snacks coloring book,,,8,706,450,-20,1.08,0.96,1.2,223,>637,8,0,7,1,0,,coloring
food and snacks bold and easy coloring book,,,-,581,270,-16,,,,312,>465,8,0,1,1,0,,coloring
food and drinks coloring book,,,-,432,246,-13,0.73,0.58,1.02,259,>570,8,0,0,1,0,,coloring
food and drink coloring book,,,6,807,451,-3,0.5,0.35,0.76,332,>559,8,0,0,1,0,,coloring
fnaf glow in the dark coloring book,,,-,"28,182",310,-11,,,,24,11,8,0,0,1,0,,coloring
fnaf coloring book,,,12,"3,876",690,-18,0.52,0.42,0.76,415,178,10,0,0,1,0,,coloring
fluffy times coloring book didi plums,,,-,"5,056",273,19,,,,39,54,8,0,0,1,0,,coloring
fluffy times coloring book,,,5,"1,453",247,-5,0.74,0.37,0.83,398,170,8,1,0,1,1,,coloring
fluffy tales coloring book,,,-,"2,515",254,-20,0.94,0.48,1.24,133,101,8,0,0,1,0,,coloring
fluffy hearts coloring book,,,-,"4,971",343,n/a,,,,31,69,8,0,0,1,0,,coloring
fluffy friends coloring book,,,-,182,180,-4,0.58,0.45,0.66,250,989,8,1,1,1,1,,coloring
flag coloring book,,,-,734,295,-11,1.31,1.08,1.49,203,>402,8,0,3,1,0,,coloring
five nights at freddys coloring book,,,-,"2,521",300,39,0.45,0.38,0.6,122,119,8,0,0,1,0,,coloring
five nights at freddy's glow in the dark coloring book,,,-,"44,400",222,5,,,,29,5,8,0,0,1,0,,coloring
five nights at freddy's coloring book,,,12,"3,488",429,-24,0.77,0.56,0.98,171,123,8,0,0,1,0,,coloring
fitz and the fool coloring book,,,-,"29,000",203,6,,,,39,7,8,0,0,1,0,,coloring
fire truck coloring book,,,3,726,236,-9,,,,273,>325,8,0,8,1,0,,coloring
fika hue coloring book,,,-,"17,833",321,8,,,,69,18,8,1,0,1,0,,coloring
festive corner coloring book,,,-,763,232,42,0.46,0.4,0.52,159,304,8,1,3,1,0,,coloring
fashionista coloring book,,,5,"1,549",367,13,,,,221,>237,8,0,1,1,0,,coloring
fashion vibes coloring book,,,6,728,310,-9,0.52,0.47,0.57,366,>426,8,1,3,0,0,,coloring
fashion coloring book for girls ages 8-12,,,3,589,343,-18,0.51,0.33,0.65,199,>582,8,0,22,0,0,,coloring
farting animals coloring book for kids,,,-,"5,054",283,-1,,,,152,56,8,0,3,0,0,,coloring
farmers market coloring book,,,5,"2,147",234,-29,0.49,0.44,0.54,428,109,8,0,5,0,0,,coloring
farm coloring book for kids,,,7,355,355,-2,0.52,0.41,0.64,252,">1,000",8,0,1,1,0,,coloring
fantasy land coloring book,,,4,"1,193",446,-55,1.09,1,1.18,266,>374,8,0,0,1,0,,coloring
fantasy kingdom coloring book,,,-,"1,500",306,-5,,,,448,>204,8,0,0,1,0,,coloring
fantastic beasts coloring book,,,-,220,220,-2,,,,351,">1,000",8,0,1,1,0,,coloring
family guy coloring book,,,3,"2,196",303,49,,,,320,138,8,1,0,1,0,,coloring
fall treats coloring book,,,-,260,260,25,0.57,0.47,0.66,315,">1,000",8,0,1,1,0,,coloring
fall coloring book for adults,,,6,342,342,13,0.49,0.44,0.54,254,">1,000",8,1,9,0,0,,coloring
fall coloring book,,,5,443,443,12,0.41,0.32,0.46,299,">1,000",8,1,12,1,0,,coloring
fairyland adult coloring book,,,-,826,242,-3,0.58,0.53,0.63,280,>293,8,0,1,1,0,,coloring
fairy fuzz coloring book,,,10,"4,466",518,-44,0.92,0.73,1.1,352,116,9,0,1,1,1,,coloring
fairy blossom coloring book,,,-,"1,338",321,17,,,,315,240,8,0,1,1,0,,coloring
f1 coloring book,,,5,"1,534",405,-2,,,,225,264,8,0,0,1,0,,coloring
everyday moments coloring book,,,-,"1,232",308,22,,,,268,250,8,1,1,1,0,,coloring
erotic coloring book,,,3,"1,102",388,-1,0.68,0.49,0.82,389,>352,8,0,1,1,0,,coloring
eras tour outfit coloring book,,,-,"11,045",243,4,0.92,0.73,1.21,57,22,8,0,0,0,0,,coloring
eras tour coloring book,,,-,"1,920",215,-7,0.63,0.57,1.1,222,112,8,0,1,0,0,,coloring
eras outfit coloring book,,,-,877,200,12,0.72,0.36,0.82,224,228,8,0,0,0,0,,coloring
epic book of awesome coloring book,,,14,"2,063",623,66,0.53,0.45,0.61,393,302,10,1,1,0,0,,coloring
enchanted hollow coloring book,,,-,"12,478",287,n/a,,,,11,23,8,0,0,1,0,,coloring
enchanted forest coloring book,,,4,721,405,-7,0.5,0.41,0.51,380,>562,8,0,11,1,0,,coloring
encanto coloring book,,,5,"1,101",414,-20,0.57,0.44,0.71,326,376,8,1,3,0,0,,coloring
emo coloring book,,,3,"1,174",277,-19,0.41,0.25,0.57,307,236,8,0,4,1,0,,coloring
elyse breanne coloring book,,,3,"3,584",405,-34,0.54,0.37,0.7,115,113,8,1,0,0,0,,coloring
ellie marks coloring book,,,-,"15,692",204,-23,,,,17,13,8,0,0,1,0,,coloring
elijah deck cute coloring book,,,-,289,52,-4,0.52,0.37,0.58,156,180,8,1,0,1,1,,coloring
elephant coloring book for kids,,,-,422,205,-11,,,,182,>486,8,0,7,1,0,,coloring
edward gorey coloring book,,,-,"2,035",230,-5,,,,165,113,8,0,0,1,0,,coloring
easter coloring book jesus,,,-,457,300,-26,0.73,0.47,0.82,209,>657,8,0,0,1,0,,coloring
easter coloring book bold and easy,,,-,235,225,-10,0.85,0.67,1.04,234,>956,8,0,1,0,0,,coloring
easter bunny coloring book for kids 1-4,,,-,858,277,4,,,,399,>323,8,0,0,1,0,,coloring
easter bold and easy coloring book,,,-,420,299,35,0.74,0.66,0.83,261,>712,8,0,1,1,0,,coloring
easter and spring coloring book,,,-,280,280,7,0.93,0.44,1.08,425,">1,000",8,1,0,0,0,,coloring
dune coloring book,,,-,834,287,43,0.8,0.51,1.09,282,344,8,0,1,1,0,,coloring
ducks life coloring book,,,-,"2,305",302,-10,,,,412,131,8,0,0,1,0,,coloring
drunk animals coloring book,,,-,"1,390",310,15,,,,177,223,8,0,1,1,0,,coloring
dreamy days coloring book,,,3,"2,828",362,-15,0.91,0.52,1.35,359,128,8,0,0,1,1,,coloring
dream weaver coloring book,,,-,"2,811",208,7,,,,45,74,8,0,0,1,0,,coloring
dream voyage coloring book,,,3,"4,010",405,-14,0.51,0.49,0.59,227,101,8,0,0,1,0,,coloring
dover stained glass coloring book,,,-,"1,046",274,-12,,,,266,>262,8,0,0,1,0,,coloring
dot art coloring book,,,-,231,231,24,0.82,0.74,1.05,205,">1,000",8,0,2,1,0,,coloring
doodly bugs coloring book,,,-,"13,667",287,n/a,,,,6,21,8,0,0,1,0,,coloring
dolly parton coloring book for adults,,,-,"3,377",206,-21,,,,132,61,8,0,0,1,0,,coloring
dollhouse coloring book,,,-,"1,550",293,0,,,,329,189,8,0,2,0,0,,coloring
dogs with jobs coloring book,,,-,436,257,5,0.47,0.37,0.55,289,590,8,0,3,1,0,,coloring
dog moments coloring book,,,4,"1,912",455,-23,0.94,0.74,1.29,323,238,8,0,0,0,1,,coloring
dog man coloring book,,,51,"1,065","1,065",-43,0.64,0.42,0.73,689,">1,000",25,0,0,1,0,,coloring
dog coloring book for kids ages 8-12,,,-,452,212,21,0.63,0.4,0.72,118,>469,8,0,3,1,0,,coloring
dnd coloring book,,,-,"1,268",270,-8,0.65,0.46,0.76,248,213,8,0,0,1,0,,coloring
diwali coloring book for kids,,,-,205,205,-13,0.67,0.45,0.85,251,">1,000",8,0,3,1,0,,coloring
disney world coloring book,,,-,356,327,4,,,,418,>919,8,1,0,0,0,,coloring
disney villains coloring book adult,,,-,"1,218",290,-5,,,,163,238,8,0,0,1,0,,coloring
disney thomas kinkade coloring book,,,12,"1,436",234,14,1.13,0.76,1.74,206,163,8,0,0,1,0,,coloring
disney stoner coloring book,,,-,459,270,23,0.69,0.62,0.72,287,588,8,0,0,1,0,,coloring
disney stitch coloring book,,,-,923,313,88,,,,272,339,8,0,0,0,0,,coloring
disney princess coloring book adult,,,5,"1,486",431,27,0.68,0.48,0.99,236,>290,8,0,0,1,0,,coloring
disney princess coloring book,,,107,"2,599","2,599",-22,0.61,0.4,0.68,660,">1,000",29,1,6,0,0,,coloring
disney paint by number coloring book,,,-,"1,205",247,1,0.58,0.4,0.83,301,205,8,0,0,1,0,,coloring
disney mystery coloring book english,,,-,"1,181",319,-27,0.49,0.43,0.55,292,270,8,0,0,1,0,,coloring
disney mystery coloring book,,,10,"5,597","1,780",-43,0.64,0.39,0.74,630,318,26,0,0,1,0,,coloring
disney coloring book mystery,,,-,294,228,1,0.71,0.52,0.96,132,775,8,0,0,1,0,,coloring
disney coloring book for girls,,,-,249,249,-1,,,,329,">1,000",8,1,0,0,0,,coloring
disney coloring book for adults by number,,,-,"1,372",321,-17,0.68,0.56,0.8,348,234,8,0,0,1,0,,coloring
disney coloring book for adults,,,80,"5,828","5,373",-30,0.43,0.31,0.62,610,>922,31,0,0,0,0,,coloring
disney coloring book by number,,,-,866,415,-7,0.54,0.49,0.59,376,>479,8,0,0,1,0,,coloring
disney coloring book adults,,,-,340,287,5,,,,196,>843,8,0,0,0,1,,coloring
disney bookmark coloring book,,,-,"4,645",288,21,0.56,0.51,0.61,137,62,8,0,0,1,0,,coloring
disney art of coloring book 100 years of wonder,,,-,"7,844",251,-13,0.72,0.69,0.79,63,32,8,0,0,1,0,,coloring
disney adult coloring book,,,25,"1,947","1,768",-15,0.56,0.46,0.67,662,>908,26,1,0,1,0,,coloring
dirty sex coloring book for adults,,,-,"1,000",277,-15,,,,197,>277,8,0,0,1,0,,coloring
dinosaur coloring book for adults,,,3,400,400,-4,0.74,0.54,0.82,230,">1,000",8,0,3,0,0,,coloring
dino coloring book for kids ages 4-8,,,-,333,209,-18,,,,248,>627,8,0,0,1,0,,coloring
digital detox coloring book,,,-,"1,240",274,154,1.13,1.08,1.18,110,221,8,0,1,1,0,,coloring
